"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","APR","I-J",-0.862442095802626,0.0226998923751465,-37.9932240007839,42,0,0
"4","CRP","I-J",-0.800266716745538,0.0157835100047992,-50.702709125043,105,0,0
"7","HRP","I-J",-0.811178552559499,0.0662566492592515,-12.2429757862564,42,1.77635683940025e-15,1.77635683940025e-15
"10","LEP","I-J",-0.888374120944348,0.0299208297885662,-29.6908249945604,42,0,0
"13","MBP","I-J",-0.800927500175207,0.0175278764602397,-45.6944971053415,105,0,0
"16","MYO","I-J",-0.848635633503474,0.0145149502966198,-58.4663134327853,42,0,0
"19","PSA","I-J",-0.792226719133827,0.0279071169184663,-28.3879815119708,105,0,0
"2","APR","H-J",-1.68628776553866,0.0226998923751465,-74.2861568535424,42,0,0
"5","CRP","H-J",-1.5928737035916,0.0157835100047992,-100.920118725637,105,0,0
"8","HRP","H-J",-1.71855937724359,0.0662566492592515,-25.9379156123507,42,0,0
"11","LEP","H-J",-1.72796870035736,0.0299208297885662,-57.7513629323769,42,0,0
"14","MBP","H-J",-1.60081223978696,0.0175278764602397,-91.3295026592779,105,0,0
"17","MYO","H-J",-1.67823856107403,0.0145149502966198,-115.621378425584,42,0,0
"20","PSA","H-J",-1.60745344694055,0.0279071169184662,-57.60012586169,105,0,0
"3","APR","G-J",-2.5601475452744,0.0226998923751465,-112.782364910128,42,0,0
"6","CRP","G-J",-2.34677037887268,0.0157835100047992,-148.684948921952,105,0,0
"9","HRP","G-J",-2.60534528369067,0.0662566492592515,-39.3220199454455,42,0,0
"12","LEP","G-J",-2.5535769285779,0.0299208297885662,-85.344455572342,42,0,0
"15","MBP","G-J",-2.38694917594815,0.0175278764602397,-136.180168850614,105,0,0
"18","MYO","G-J",-2.52754217171496,0.0145149502966198,-174.133711798073,42,0,0
"21","PSA","G-J",-2.42478523794215,0.0279071169184662,-86.8877012636753,105,0,0
