"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","bovine","C1-C2",-0.463039207847212,0.150235798748468,-3.08208304348589,102,0.00264352478709773,0.00317222974451727
"6","chicken","C1-C2",-0.842459462923298,0.253950441921292,-3.31741680207197,90,0.00131191053639301,0.00196786580458952
"11","cyc_horse","C1-C2",-1.18605461748311,0.13556059134642,-8.749258215112,251,4.44089209850063e-16,1.33226762955019e-15
"16","myg_horse","C1-C2",6.27749237663287,0.336675272801519,18.6455403285101,87,0,0
"21","rabbit","C1-C2",-1.28034672769753,0.382624010824752,-3.34622682182888,218,0.000964636829734467,0.00192927365946893
"26","yeast","C1-C2",-0.617333939000023,0.290876887145217,-2.12232035710636,109,0.0360754576206292,0.0360754576206292
"2","bovine","C1-C3",5.20205685534103,0.493647725879617,10.5379941659239,102,0,0
"7","chicken","C1-C3",-1.22017149125454,0.26835565349567,-4.54684473891373,90,1.69134930421144e-05,1.69134930421144e-05
"12","cyc_horse","C1-C3",-1.661947382596,0.133291075938098,-12.4685570350399,251,0,0
"17","myg_horse","C1-C3",6.753923032574,0.250942932109161,26.9141791554265,87,0,0
"22","rabbit","C1-C3",-3.09919587590695,0.560415136374613,-5.53017874562773,218,9.10996402758713e-08,1.36649460413807e-07
"27","yeast","C1-C3",-1.64078381642262,0.310960472408203,-5.27650284203561,109,6.75605330568985e-07,8.10726396682782e-07
"3","bovine","C1-C4",3.80758222932467,0.290436852357793,13.1098453877818,102,0,0
"8","chicken","C1-C4",-3.77555627737684,0.251136499755712,-15.0338811007139,90,0,0
"13","cyc_horse","C1-C4",3.47718351043697,0.219517021526329,15.840154381923,251,0,0
"18","myg_horse","C1-C4",4.17611210477222,0.129503702180225,32.2470480338894,87,0,0
"23","rabbit","C1-C4",-4.98989602771371,0.583040535348637,-8.55840327590591,218,2.22044604925031e-15,2.22044604925031e-15
"28","yeast","C1-C4",-3.55720652742628,0.309922204159362,-11.4777401544201,109,0,0
"4","bovine","C1-C5",3.20469135830974,0.173844505956368,18.4342400737936,102,0,0
"9","chicken","C1-C5",2.90606400459318,0.327848610774392,8.86404245462239,90,6.61692922676593e-14,6.61692922676593e-14
"14","cyc_horse","C1-C5",1.95634191018133,0.183988498985055,10.6329576086179,251,0,0
"19","myg_horse","C1-C5",2.49811961297095,0.0991939035232437,25.1842051198799,87,0,0
"24","rabbit","C1-C5",-6.42688878930679,0.619521201582234,-10.373961008748,218,0,0
"29","yeast","C1-C5",-4.96075788937887,0.308619456887163,-16.0740283176398,109,0,0
"5","bovine","C1-C6",1.70656538479305,0.150235798748468,11.3592459254686,102,0,0
"10","chicken","C1-C6",1.48779454720932,0.296213810791171,5.02270486050431,90,2.56357395378437e-06,2.56357395378437e-06
"15","cyc_horse","C1-C6",1.36537347834785,0.165160150639282,8.26696677777855,251,7.99360577730113e-15,1.19904086659517e-14
"20","myg_horse","C1-C6",1.19275945141611,0.0971897796907238,12.2724781886706,87,0,0
"25","rabbit","C1-C6",-6.67268950226584,0.58018791436565,-11.5009108894684,218,0,0
"30","yeast","C1-C6",2.62505757696753,0.310960472408203,8.44177253989237,109,1.48103751484996e-13,1.77724501781995e-13
