"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","bovine","C1-C2",-0.519240244032675,0.524789654581127,-0.98942545741897,11,0.3437200142827,0.41246401713924
"6","chicken","C1-C2",-0.584880270250898,0.431156036352875,-1.35653967690762,12,0.199900330412357,0.299850495618535
"11","cyc_horse","C1-C2",-1.2411565228779,0.156583023990636,-7.92650755647764,12,4.13194992354704e-06,2.47916995412822e-05
"16","myg_horse","C1-C2",3.30955062720094,0.54588472195326,6.06272807078911,12,5.64779982994423e-05,0.000169433994898327
"21","rabbit","C1-C2",-0.634017444952719,0.307293855929593,-2.06322851146749,12,0.0614193065067634,0.122838613013527
"26","yeast","C1-C2",0.020204492441515,0.291132074136674,0.0693997475250008,12,0.945814505029846,0.945814505029846
"2","bovine","C1-C3",6.10703964549181,0.586732670766017,10.4085556332131,11,4.9479346264647e-07,1.48438038793941e-06
"7","chicken","C1-C3",-1.18640163283742,0.431156036352875,-2.75167580366757,12,0.0175477176877306,0.0263215765315958
"12","cyc_horse","C1-C3",-1.9965229100592,0.156583023990636,-12.7505706504851,12,2.45287821165618e-08,1.47172692699371e-07
"17","myg_horse","C1-C3",3.66752476843128,0.54588472195326,6.71849681981995,12,2.13843284981863e-05,4.27686569963726e-05
"22","rabbit","C1-C3",-0.625442369003613,0.307293855929593,-2.03532337837212,12,0.0645205186888897,0.0774246224266677
"27","yeast","C1-C3",-0.419636638304364,0.291132074136674,-1.44139610707188,12,0.175055940444666,0.175055940444666
"3","bovine","C1-C4",3.52703527470413,0.524789654581127,6.72085519200891,11,3.28298154603779e-05,4.19158497020788e-05
"8","chicken","C1-C4",-3.27270726685908,0.431156036352875,-7.59054029381736,12,6.41134854295622e-06,2.06265409876671e-05
"13","cyc_horse","C1-C4",1.13336396865406,0.156583023990636,7.2381024441183,12,1.03132704938336e-05,2.06265409876671e-05
"18","myg_horse","C1-C4",3.0992339163332,0.545884721953261,5.67745128539897,12,0.000102721900370861,0.000102721900370861
"23","rabbit","C1-C4",-1.96123125291716,0.307293855929593,-6.38226640420211,12,3.49298747517324e-05,4.19158497020788e-05
"28","yeast","C1-C4",-2.14741897320389,0.291132074136674,-7.37609890484197,12,8.54627795021656e-06,2.06265409876671e-05
"4","bovine","C1-C5",2.79234247160597,0.524789654581127,5.32087941755397,11,0.000244459933057328,0.000488919866114657
"9","chicken","C1-C5",1.53936177812878,0.431156036352875,3.57031248164854,12,0.00385018115634561,0.00462021738761473
"14","cyc_horse","C1-C5",0.379957232936759,0.156583023990636,2.4265544453879,12,0.031932897638713,0.031932897638713
"19","myg_horse","C1-C5",2.2958224822613,0.54588472195326,4.20569103683007,12,0.00121950399871551,0.00182925599807326
"24","rabbit","C1-C5",-2.88395049359899,0.307293855929593,-9.3849923711451,12,7.07879294958857e-07,2.12363788487657e-06
"29","yeast","C1-C5",-3.64771922859487,0.291132074136674,-12.5294309787469,12,2.98494156059093e-08,1.79096493635456e-07
"5","bovine","C1-C6",1.68737885215524,0.524789654581127,3.21534320927509,11,0.00822694538156754,0.0164538907631351
"10","chicken","C1-C6",0.06633340709938,0.431156036352875,0.153850118069761,12,0.88028496759054,0.88028496759054
"15","cyc_horse","C1-C6",0.574027902186624,0.156583023990636,3.66596510628733,12,0.00323073398965601,0.00969220196896803
"20","myg_horse","C1-C6",1.19275945141611,0.54588472195326,2.18500244364457,12,0.0494487564195651,0.0593385077034782
"25","rabbit","C1-C6",-3.68015943213668,0.307293855929593,-11.9760267285652,12,4.94487597535453e-08,2.96692558521272e-07
"30","yeast","C1-C6",0.771615140243399,0.291132074136674,2.6503955035925,12,0.0211635786989752,0.0317453680484628
