Protein IDs,Majority protein IDs,Protein names,Gene names,UPS2/1 ratio,
P00441ups,P00441ups,,,0.0001,
P01375ups,P01375ups,,,0.0001,
P02741ups,P02741ups,,,0.0001,
P02788ups,P02788ups,,,0.0001,
P05413ups,P05413ups,,,0.0001,
P08758ups,P08758ups,,,0.0001,
P10145ups,P10145ups,,,0.0001,
P10636-8ups,P10636-8ups,,,0.0001,
P06396ups;CON__Q3SX14,P06396ups;CON__Q3SX14,,,0.001,
O00762ups,O00762ups,,,0.001,
P01112ups,P01112ups,,,0.001,
P01579ups,P01579ups,,,0.001,
P09211ups,P09211ups,,,0.001,
P51965ups,P51965ups,,,0.001,
P99999ups,P99999ups,,,0.001,
P02787ups;CON__Q2HJF0,P02787ups,,,0.001,
O76070ups,O76070ups,,,0.01,
P01127ups,P01127ups,,,0.01,
P01344ups,P01344ups,,,0.01,
P08263ups,P08263ups,,,0.01,
P10599ups,P10599ups,,,0.01,
P55957ups,P55957ups,,,0.01,
P61769ups,P61769ups,,,0.01,
P01008ups;CON__P41361,P01008ups,,,0.01,
P00709ups,P00709ups,,,0.1,
P02753ups,P02753ups,,,0.1,
P06732ups,P06732ups,,,0.1,
P12081ups,P12081ups,,,0.1,
P16083ups,P16083ups,,,0.1,
P61626ups,P61626ups,,,0.1,
P63279ups,P63279ups,,,0.1,
Q15843ups,Q15843ups,,,0.1,
P00167ups,P00167ups,,,1,12
P01133ups,P01133ups,,,1,6
P02144ups,P02144ups,,,1,26
P04040ups,P04040ups,,,1,lot
P15559ups,P15559ups,,,1,
P62937ups,P62937ups,,,1,
P63165ups,P63165ups,,,1,
Q06830ups,Q06830ups,,,1,
P68871ups;CON__Q3SX09;CON__P02070,P68871ups,,,10,
P02768ups;CON__P02768-1;CON__Q3SZ57,P02768ups;CON__P02768-1,,,10,
P00915ups,P00915ups,,,10,
P00918ups,P00918ups,,,10,
P01031ups,P01031ups,,,10,
P41159ups,P41159ups,,,10,
P62988ups,P62988ups,,,10,
P69905ups,P69905ups,,,10,
P31119,P31119,Bifunctional protein aas;2-acylglycerophosphoethanolamine acyltransferase;Acyl-[acyl-carrier-protein] synthetase,aas,,
P0ABD5,P0ABD5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,,
P0ABD8,P0ABD8,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB,,
P24182,P24182,Biotin carboxylase,accC,,
P0A9Q5;P0A9U8,P0A9Q5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD,,
P0A9G6,P0A9G6,Isocitrate lyase,aceA,,
P08997,P08997,Malate synthase A,aceB,,
P0AFG8,P0AFG8,Pyruvate dehydrogenase E1 component,aceE,,
P06959,P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,aceF,,
P0A6A3,P0A6A3,Acetate kinase,ackA,,
P25516,P25516,Aconitate hydratase 1,acnA,,
P36683,P36683,Aconitate hydratase 2,acnB,,
P0A6A8,P0A6A8,Acyl carrier protein,acpP,,
P0AE06;P24180,P0AE06,Acriflavine resistance protein A,acrA,,
P31224;P24181,P31224,Acriflavine resistance protein B,acrB,,
P24177,P24177,Probable aminoglycoside efflux pump,acrD,,
P0ACS9,P0ACS9,HTH-type transcriptional regulator AcrR,acrR,,
P27550,P27550,Acetyl-coenzyme A synthetase,acs,,
P32705,P32705,Cation/acetate symporter ActP,actP,,
P06134,P06134,Bifunctional transcriptional activator/DNA repair enzyme Ada;Methylphosphotriester-DNA--protein-cysteine S-methyltransferase;Methylated-DNA--protein-cysteine methyltransferase,ada,,
P22333,P22333,Adenosine deaminase,add,,
P31441,P31441,Adenine deaminase,ade,,
P0A9Q7,P0A9Q7,Aldehyde-alcohol dehydrogenase;Alcohol dehydrogenase;Acetaldehyde dehydrogenase [acetylating];Pyruvate-formate-lyase deactivase,adhE,,
P39451,P39451,"Alcohol dehydrogenase, propanol-preferring",adhP,,
P69441;Q1PI83,P69441;Q1PI83,Adenylate kinase,adk,,
P50466,P50466,Aerotaxis receptor,aer,,
P23872,P23872,Acetyl esterase,aes,,
P0ACK2,P0ACK2,Putative aga operon transcriptional repressor,agaR,,
P42904,P42904,N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2,agaV,,
P19926,P19926,Glucose-1-phosphatase,agp,,
P0AE08,P0AE08,Alkyl hydroperoxide reductase subunit C,ahpC,,
P35340,P35340,Alkyl hydroperoxide reductase subunit F,ahpF,,
P33224,P33224,Putative acyl-CoA dehydrogenase AidB,aidB,,
P0A959,P0A959,Glutamate-pyruvate aminotransferase AlaA,alaA,,
P77434,P77434,Glutamate-pyruvate aminotransferase AlaC,alaC,,
P00957,P00957,Alanine--tRNA ligase,alaS,,
P25553,P25553,Lactaldehyde dehydrogenase,aldA,,
P37685,P37685,Aldehyde dehydrogenase B,aldB,,
P77671,P77671,Allantoinase,allB,,
P0ACN4,P0ACN4,HTH-type transcriptional repressor AllR,allR,,
P0A6B4,P0A6B4,"Alanine racemase, biosynthetic",alr,,
P39265,P39265,D-allose-binding periplasmic protein,alsB,,
P32718,P32718,D-allose kinase,alsK,,
P63883,P63883,N-acetylmuramoyl-L-alanine amidase AmiC,amiC,,
P75820,P75820,N-acetylmuramoyl-L-alanine amidase AmiD,amiD,,
P0AE12,P0AE12,AMP nucleosidase,amn,,
P00811,P00811,Beta-lactamase,ampC,,
P13016,P13016,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",ampD,,
P0AE14,P0AE14,Protein AmpE,ampE,,
P0AD70,P0AD70,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH,ampH,,
P26612,P26612,Cytoplasmic alpha-amylase,amyA,,
P77570,P77570,Anhydro-N-acetylmuramic acid kinase,anmK,,
P0A962,P0A962,L-asparaginase 1,ansA,,
P00805,P00805,L-asparaginase 2,ansB,,
P62672,P62672,Protein ApaG,apaG,,
P05637,P05637,Bis(5-nucleosyl)-tetraphosphatase [symmetrical],apaH,,
P0AB85,P0AB85,Thiamine biosynthesis lipoprotein ApbE,apbE,,
P0AE22,P0AE22,Class B acid phosphatase,aphA,,
P07102,P07102,Periplasmic AppA protein;Phosphoanhydride phosphohydrolase;4-phytase,appA,,
P69503,P69503,Adenine phosphoribosyltransferase,apt,,
P08202,P08202,L-arabinose isomerase,araA,,
P08204,P08204,Ribulokinase,araB,,
P0A9E0,P0A9E0,Arabinose operon regulatory protein,araC,,
P02924,P02924,L-arabinose-binding periplasmic protein,araF,,
P0A9Q1;A5PFK0;A5PFJ8,P0A9Q1;A5PFK0,Aerobic respiration control protein ArcA,arcA;arcA2,,
P0AEC3,P0AEC3,Aerobic respiration control sensor protein ArcB,arcB,,
P0A6C8,P0A6C8,Acetylglutamate kinase,argB,,
P11446,P11446,N-acetyl-gamma-glutamyl-phosphate reductase,argC,,
P18335,P18335,Acetylornithine/succinyldiaminopimelate aminotransferase,argD,,
P23908,P23908,Acetylornithine deacetylase,argE,,
P0A6E4,P0A6E4,Argininosuccinate synthase,argG,,
P11447,P11447,Argininosuccinate lyase,argH,,
P0A6D0,P0A6D0,Arginine repressor,argR,,
P11875,P11875,Arginine--tRNA ligase,argS,,
P09551,P09551,Lysine-arginine-ornithine-binding periplasmic protein,argT,,
P75993,P75993,Probable two-component-system connector protein AriR,ariR,,
P77398,P77398,"Bifunctional polymyxin resistance protein ArnA;UDP-4-amino-4-deoxy-L-arabinose formyltransferase;UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating",arnA,,
P77690,P77690,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,arnB,,
P0A6D3,P0A6D3,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,,
P07639,P07639,3-dehydroquinate synthase,aroB,,
P12008,P12008,Chorismate synthase,aroC,,
P05194,P05194,3-dehydroquinate dehydratase,aroD,,
P15770,P15770,Shikimate dehydrogenase,aroE,,
P00888,P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",aroF,,
P0AB91,P0AB91,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",aroG,,
P00887,P00887,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",aroH,,
P0A6D7,P0A6D7,Shikimate kinase 1,aroK,,
P0A6E1,P0A6E1,Shikimate kinase 2,aroL,,
P0AE28,P0AE28,Protein AroM,aroM,,
P0AB96,P0AB96,Arsenate reductase,arsC,,
P37309,P37309,Arsenical resistance operon repressor,arsR,,
P30859,P30859,Putative ABC transporter arginine-binding protein 2,artI,,
P30860,P30860,ABC transporter arginine-binding protein 1,artJ,,
P0AE30,P0AE30,Arginine ABC transporter permease protein ArtM,artM,,
P0AAF6,P0AAF6,Arginine transport ATP-binding protein ArtP,artP,,
P0AE34,P0AE34,Arginine ABC transporter permease protein ArtQ,artQ,,
P24242,P24242,HTH-type transcriptional regulator AscG,ascG,,
P0A9Q9,P0A9Q9,Aspartate-semialdehyde dehydrogenase,asd,,
P28249,P28249,Protein AsmA,asmA,,
P00963,P00963,Aspartate--ammonia ligase,asnA,,
P22106,P22106,Asparagine synthetase B [glutamine-hydrolyzing],asnB,,
P0A8M0,P0A8M0,Asparagine--tRNA ligase,asnS,,
P0AC38,P0AC38,Aspartate ammonia-lyase,aspA,,
P00509,P00509,Aspartate aminotransferase,aspC,,
P21889,P21889,Aspartate--tRNA ligase,aspS,,
P0AE37,P0AE37,Arginine N-succinyltransferase,astA,,
P76216,P76216,N-succinylarginine dihydrolase,astB,,
P77581,P77581,Succinylornithine transaminase,astC,,
P76217;REV__P06612,P76217,N-succinylglutamate 5-semialdehyde dehydrogenase,astD,,
P76215,P76215,Succinylglutamate desuccinylase,astE,,
Q06065,Q06065,Acetoacetate metabolism regulatory protein AtoC,atoC,,
P0ABB0,P0ABB0,ATP synthase subunit alpha,atpA,,
P0AB98,P0AB98,ATP synthase subunit a,atpB,,
P0A6E6,P0A6E6,ATP synthase epsilon chain,atpC,,
P0ABB4,P0ABB4,ATP synthase subunit beta,atpD,,
P68699,P68699,ATP synthase subunit c,atpE,,
P0ABA0,P0ABA0,ATP synthase subunit b,atpF,,
P0ABA6,P0ABA6,ATP synthase gamma chain,atpG,,
P0ABA4,P0ABA4,ATP synthase subunit delta,atpH,,
P09053,P09053,Valine--pyruvate aminotransferase,avtA,,
P41407,P41407,FMN-dependent NADH-azoreductase,azoR,,
P69228,P69228,Transcriptional regulatory protein BaeR,baeR,,
P30847,P30847,Signal transduction histidine-protein kinase BaeS,baeS,,
P0A940,P0A940,Outer membrane protein assembly factor BamA,bamA,,
P77774,P77774,Outer membrane protein assembly factor BamB,bamB,,
P0A903;P37673,P0A903,Outer membrane protein assembly factor BamC,bamC,,
P0AC02,P0AC02,Outer membrane protein assembly factor BamD,bamD,,
P0A937,P0A937,Outer membrane protein assembly factor BamE,bamE,,
