"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","CD59","tumor-control",0.138649299458951,0.137266757134553,1.01007193841582,56,0.316805361762395,0.369606255389461
"2","CDH6","tumor-control",-0.256694799734688,0.130962505790855,-1.9600632882256,57,0.0548834637534739,0.0853742769498482
"3","CFH","tumor-control",-0.228405224910302,0.0632692446077793,-3.61005139742444,28,0.00118269581192987,0.00331154827340363
"4","CLU","tumor-control",0.111896902270861,0.0649604499299302,1.722538904696,70,0.0893876373186004,0.125142692246041
"5","DSC2","tumor-control",0.340890196863212,0.122997431531162,2.77152288970234,28,0.00980388743288052,0.0171568030075409
"6","ECM1","tumor-control",0.756595899519138,0.121515900442503,6.22631192102411,28,9.97602572549994e-07,4.65547867189997e-06
"7","FN1","tumor-control",-1.03366457344788,0.129793518880953,-7.96391516587171,28,1.12998970180911e-08,7.90992791266376e-08
"8","FSTL1","tumor-control",0.403160261842028,0.0907903066417792,4.44056504217714,61,3.83850999770008e-05,0.000134347849919503
"9","L1CAM","tumor-control",-0.439677983704085,0.144767038406551,-3.03714152436642,61,0.00351129779481063,0.00819302818789147
"10","PRG4","tumor-control",-0.188373659606664,0.226016490951426,-0.833450952245548,28,0.411644096082877,0.443309026550791
"11","PSAP","tumor-control",-1.06909751450467,0.140184768610752,-7.6263457513934,61,1.93525417913065e-10,2.70935585078291e-09
"12","TF","tumor-control",-0.34322154685853,0.112924974932831,-3.03937678146647,28,0.00509479135828483,0.0101895827165697
"13","THBS1","tumor-control",-0.0344896670349036,0.360551774846193,-0.0956580148568577,14,0.9251479528189,0.9251479528189
"14","VTN","tumor-control",0.129890544630233,0.109216756312264,1.1892913598245,28,0.244313051771774,0.310943884073167
