"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","APR","I-J",-0.863978403848545,0.029847203636383,-28.946711872042,18,0,0
"4","CRP","I-J",-0.799505630980426,0.0119846010878394,-66.7110757480008,18,0,0
"7","HRP","I-J",-0.837826579253157,0.0839314239706967,-9.98227528637749,18,9.1780707478506e-09,9.1780707478506e-09
"10","LEP","I-J",-0.888112196824149,0.0362208319665698,-24.5193759669529,18,2.66453525910038e-15,3.10862446895044e-15
"13","MBP","I-J",-0.797328802564823,0.0152052637070145,-52.437683287071,18,0,0
"16","MYO","I-J",-0.846377072657525,0.0147827675172531,-57.2543044913418,18,0,0
"19","PSA","I-J",-0.787155197849503,0.0254732967404181,-30.9011906024922,18,0,0
"2","APR","H-J",-1.68413849450994,0.029847203636383,-56.425336022334,18,0,0
"5","CRP","H-J",-1.59483775553583,0.0119846010878394,-133.07391241867,18,0,0
"8","HRP","H-J",-1.70807928435236,0.0839314239706967,-20.3508912817768,18,7.1276318180935e-14,7.1276318180935e-14
"11","LEP","H-J",-1.72761394516678,0.0362208319665698,-47.6966941775743,18,0,0
"14","MBP","H-J",-1.59176218962608,0.0152052637070145,-104.684944654513,18,0,0
"17","MYO","H-J",-1.67614021967749,0.0147827675172531,-113.384737852453,18,0,0
"20","PSA","H-J",-1.59597893679512,0.0254732967404181,-62.6530186908552,18,0,0
"3","APR","G-J",-2.56341636441079,0.029847203636383,-85.8846408407269,18,0,0
"6","CRP","G-J",-2.35295636371671,0.0119846010878394,-196.331638113865,18,0,0
"9","HRP","G-J",-2.61207418188499,0.0839314239706967,-31.1215282466429,18,0,0
"12","LEP","G-J",-2.55368133866533,0.0362208319665698,-70.5031110556011,18,0,0
"15","MBP","G-J",-2.38440939498822,0.0152052637070145,-156.814734747957,18,0,0
"18","MYO","G-J",-2.52443820067739,0.0147827675172531,-170.768984747349,18,0,0
"21","PSA","G-J",-2.41099784518919,0.0254732967404181,-94.6480492791374,18,0,0
