"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","YBR132C","M6-M3",1.13696190489297,1.40209791081703,0.810900505678979,6,0.448385157552062,0.860380780310354
"4","YBR144C","M6-M3",-1.08833457616698,3.88315599905617,-0.280270629465184,6,0.788682381951158,0.860380780310354
"7","YBR147W","M6-M3",-4.94940763005675,2.85115547207072,-1.73593045996265,6,0.133258016758257,0.788726415538779
"10","YBR168W","M6-M3",0.0486151107361686,0.0862684433257124,0.563532954369176,6,0.593491923597549,0.860380780310354
"13","YBR184W","M6-M3",-3.45363493558024,2.38144477203457,-1.45022675987974,6,0.197181603884695,0.788726415538779
"16","YBR186W","M6-M3",-0.154036989535761,0.175900271563866,-0.875706377063967,6,0.414867476651087,0.860380780310354
"19","YBR203W","M6-M3",-0.437888396695669,1.37856906301515,-0.317639796542319,6,0.761521810337622,0.860380780310354
"22","YBR204C","M6-M3",0.112155321186156,0.349464662768148,0.320934655589384,6,0.759144133497634,0.860380780310354
"25","YBR228W","M6-M3",-0.653296061715031,2.1789989680538,-0.299814764161422,5,0.776382351351024,0.860380780310354
"28","YBR250W","M6-M3",-0.0432463920720246,0.434044660548295,-0.0996358117097784,3,0.926918296038599,0.926918296038599
"31","YBR270C","M6-M3",0.239018160119381,0.363906865894268,0.656811350706494,6,0.535667019573941,0.860380780310354
"34","YBR284W","M6-M3",3.37574511761268,1.9584475316889,1.72368422589374,5,0.14537004956988,0.788726415538779
"2","YBR132C","M6-M4",3.47690239622251,1.40209791081703,2.47978573350591,6,0.0478192219855278,0.286915331913167
"5","YBR144C","M6-M4",-1.96399194578402,3.88315599905617,-0.505772095239384,6,0.631056119974003,0.757267343968803
"8","YBR147W","M6-M4",-2.273218627107,2.85115547207072,-0.797297323620172,6,0.45566299574882,0.757267343968803
"11","YBR168W","M6-M4",0.065151199947886,0.0862684433257124,0.755214739437261,6,0.478706844413222,0.757267343968803
"14","YBR184W","M6-M4",-6.1836665140033,2.38144477203457,-2.59660294734458,6,0.0408481129641585,0.286915331913167
"17","YBR186W","M6-M4",-0.0697728384787517,0.175900271563866,-0.396661345991262,6,0.705340736878872,0.769462622049679
"20","YBR203W","M6-M4",-0.868994228862485,1.37856906301515,-0.630359589647148,6,0.551695950260612,0.757267343968803
"23","YBR204C","M6-M4",0.0581099935938878,0.349464662768149,0.166282888614809,6,0.873396273579851,0.873396273579851
"26","YBR228W","M6-M4",-2.35403671594069,2.1789989680538,-1.08032943129075,5,0.329327567094819,0.757267343968803
"29","YBR250W","M6-M4",-0.407507938976689,0.434044660548295,-0.938861771647913,3,0.417062969625985,0.757267343968803
"32","YBR270C","M6-M4",-0.202895210385031,0.363906865894268,-0.557547079762935,6,0.597324288395034,0.757267343968803
"35","YBR284W","M6-M4",3.72418370442472,1.9584475316889,1.90159993779006,5,0.115625670654618,0.462502682618471
"3","YBR132C","M6-M5",0.0427147546181255,1.40209791081703,0.0304648871441758,6,0.976684386119813,0.976684386119813
"6","YBR144C","M6-M5",-1.99327571550337,3.88315599905617,-0.513313324519501,6,0.626079033237658,0.834772044316877
"9","YBR147W","M6-M5",-2.99655830372996,2.85115547207072,-1.0509978614227,6,0.333735424990241,0.572117871411841
"12","YBR168W","M6-M5",0.103876769715825,0.0862684433257124,1.20411086268975,6,0.273888481547165,0.54777696309433
"15","YBR184W","M6-M5",-1.40269819982706,2.38144477203457,-0.589011433856882,6,0.577340642237842,0.834772044316877
"18","YBR186W","M6-M5",-0.308811941898107,0.175900271563866,-1.75560810198057,6,0.129680730652513,0.389042191957538
"21","YBR203W","M6-M5",-2.9125008033756,1.37856906301515,-2.11269850855748,6,0.0790773233257633,0.316309293303053
"24","YBR204C","M6-M5",-0.787148209407876,0.349464662768148,-2.25244006982791,6,0.0652221155842874,0.316309293303053
"27","YBR228W","M6-M5",0.60826857365512,2.66871781089145,0.227925399670464,5,0.828731771285337,0.976684386119813
"30","YBR250W","M6-M5",-0.0293987745010842,0.434044660548295,-0.0677321418121974,3,0.950260440976751,0.976684386119813
"33","YBR270C","M6-M5",-0.943642774501298,0.363906865894268,-2.59308867993568,6,0.0410413124061928,0.316309293303053
"36","YBR284W","M6-M5",3.10327752664766,2.3985985703255,1.29378778301637,5,0.252276760110912,0.54777696309433
