"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","CD59","tumor-control",0.155075429683437,0.243551967158505,0.636724192757242,14,0.534577711081472,0.623673996261717
"2","CDH6","tumor-control",-0.274096474242834,0.174206904125514,-1.57339616141362,14,0.137948377339263,0.275896754678526
"3","CFH","tumor-control",-0.241925584380301,0.122783853305708,-1.97033712387208,14,0.0689068033538958,0.178447601410824
"4","CLU","tumor-control",0.111208555150204,0.150068452559212,0.741052188209408,14,0.470909846943089,0.623673996261717
"5","DSC2","tumor-control",0.326979895702699,0.230423413541961,1.41903937050718,14,0.177766755800398,0.28335043750298
"6","ECM1","tumor-control",0.674593417866816,0.246901441420045,2.73223766530853,14,0.0161999964736625,0.113399975315638
"7","FN1","tumor-control",-0.834987768927544,0.39090893606926,-2.13601606891791,14,0.0508224539241968,0.178447601410824
"8","FSTL1","tumor-control",0.362148103817846,0.172789281620358,2.09589449311756,14,0.0547472798433302,0.178447601410824
"9","L1CAM","tumor-control",-0.453807456252787,0.237271378427635,-1.91260934740678,14,0.0764775434617819,0.178447601410824
"10","PRG4","tumor-control",-0.258829904416816,0.395302669765696,-0.654763866305861,14,0.523232338670987,0.623673996261717
"11","PSAP","tumor-control",-1.06674692862627,0.191165341641027,-5.58023185305953,14,6.7803717566095e-05,0.000949252045925331
"12","TF","tumor-control",-0.371505772617813,0.264632141665331,-1.40385733297523,14,0.182153852680487,0.28335043750298
"13","THBS1","tumor-control",-0.146856193747923,0.682786726357636,-0.215083551098503,14,0.832803857024211,0.832803857024211
"14","VTN","tumor-control",0.106441247217394,0.247726857465016,0.429671809938594,14,0.673973846888706,0.725817988957068
