"","1_Disease","2_Disease","3_Disease","4_Healthy","5_Disease","6_Disease","7_Disease","8_Disease","9_Disease","10_Disease","11_Disease","12_Disease","13_Disease","14_Disease","15_Healthy","16_Disease","17_Disease","18_Disease","19_Disease","20_Disease","21_Disease","22_Healthy","23_Disease","24_Disease","25_Disease","26_Disease","27_Disease","28_Healthy","29_Disease","30_Healthy","31_Healthy","32_Disease","33_Disease","34_Healthy","35_Disease","36_Disease","37_Disease","38_Disease","39_Healthy","40_Disease","41_Disease","42_Disease","43_Healthy","44_Disease","45_Disease","46_Disease","47_Disease","48_Disease","49_Healthy","50_Disease","51_Disease","52_Disease","53_Disease","54_Disease","55_Disease","56_Disease","57_Disease","58_Disease","59_Disease","60_Disease","61_Disease","62_Healthy","63_Healthy","64_Healthy","65_Disease","66_Disease","67_Disease","68_Disease","69_Disease","70_Healthy","71_Disease","72_Healthy","73_Disease","74_Disease","75_Disease","76_Disease","77_Disease","78_Disease","79_Disease","80_Disease","81_Disease","Ref"
"A2MG",17.8688183358521,17.0311277597327,18.0918601018361,17.0019537678903,18.0919543224731,17.0622853269589,17.1449334446402,16.9936167199377,16.9856743050026,16.6228413110964,17.9021985839369,17.4161915733467,18.4086524508179,16.6646323780915,17.757670877766,17.5937473150671,17.0615115658963,17.9674556848365,17.9752865069163,18.2216231693907,17.85149763478,17.6007799172835,17.1790657350731,16.9594444584677,16.7484776332891,17.6180858482585,17.4964913542378,18.0384798117521,17.7306280212662,18.3316005855188,18.9190547642356,18.2278727139757,17.2755072766743,17.8200837870066,18.1001005258546,18.2481162485674,17.5760887994108,17.8399513249754,18.655621250951,18.0615443496376,17.7132510611766,17.6904193821607,18.5143394546825,18.0914683088023,17.2475305518893,18.1926148868476,17.390452930892,17.9667736393737,18.2532614836378,17.6413111305912,17.5515688798865,18.7825373039772,18.3633349516969,18.6813120969098,18.7137220131783,18.6250936066076,18.1814390940628,17.2359015213347,18.3061243599797,17.9959622369166,17.6320917727879,18.2624731855454,17.9902327179368,17.9131598040799,18.503548338559,17.4318583504629,18.7406240324161,18.2787520783576,18.4094922863331,18.2795762271253,19.4146313431191,17.860693614924,19.0467597011789,17.58034998674,18.9399058491478,17.7922854298481,18.769360283675,19.5044773285566,18.8858477080493,18.8566349240656,17.8788646762864,16.5929797810545
"AACT",20.0219852564146,21.2132870258847,21.6234679366339,20.343077100323,21.4112594765317,21.8110291126407,21.8764158079067,22.6203396931968,20.8467397646342,20.1538046520466,20.2743804447826,19.9801142002651,20.4201080504097,21.8869190170083,20.4313002986851,21.6444171193636,20.882414544923,21.0546365419344,20.9391417825586,21.6985809433276,20.9785100483439,20.3194416243779,21.9810257807758,20.9825474646143,22.2501715321988,21.1993978224743,22.3802728740442,20.3858808056497,21.0172665905891,20.3967558692001,20.5865262484525,20.5295877527941,21.1794447576362,20.8541195315605,20.9161490252847,20.6533811048794,21.0513779659577,21.7321405549798,21.23587324902,22.2051984328208,20.5469471967956,21.9755224596065,20.5265188421662,21.3097240219933,22.1431902742298,21.510287209034,22.1584110121117,21.6387110956179,20.511374015714,22.1127178834903,21.1129775803593,21.1897854224019,22.0109376261746,20.5467917588087,21.4424356299149,21.1882312572039,20.510359529588,22.6327179720441,20.4883302430606,21.5574896617699,21.5335516621577,21.1114214301253,21.0858109526138,20.9441794767176,20.9579477567068,22.3918075538267,21.2826386198141,21.7134848796271,20.7060359474236,21.1168485409933,21.5994950823732,21.199895217938,20.5050316046097,21.5621384920349,21.6055140710944,21.8770395657107,22.557617069473,21.6119185636819,22.4955307914519,20.4917716117864,21.6306902709795,20.0778959984581
"APOA",19.6496342491919,13.8402398044666,14.2081909607692,12.6861869260224,17.899793450869,17.2084912313899,17.7628921916552,17.7549290911804,17.4149439328446,17.7091691971215,16.2252123641799,14.7266471673625,17.210135246898,17.7066801684271,15.0799719115686,13.4056619587859,12.6862905256663,15.7378162944164,16.3944950717315,15.7843768825836,18.8594275291492,16.7756226899981,18.1213481990765,16.008831971229,18.1895008136314,14.8669877998048,15.4518865411064,13.8402266958018,15.6148674854551,16.5328165430555,13.7300991259831,14.7782564390426,14.8536529339977,14.8765692408477,19.1234667826505,12.7059482015259,17.7234003514738,15.36382662466,17.9417257999009,17.5672964253431,15.1681361773416,13.7222744892815,14.1266026227179,12.9620534565929,16.7780004940024,15.3882249296747,17.1920893569762,14.746389698445,14.6027115186746,15.8597217033035,17.4475582581965,13.9728853155682,14.8719975240129,15.1297591900154,17.5758617271517,16.7721689578806,15.0764321842507,15.1959451593772,18.6904714998598,16.7978237592726,17.2096039255042,17.1906850842469,17.5187588301775,15.1703023655685,12.344065159324,14.7527387018081,17.4572139480162,16.641886916831,14.0547909319088,14.9932753304461,16.0481974574961,17.4459673932692,14.0188019356186,16.6218390990437,12.5987347013761,17.7044892972713,16.3560307355155,14.3198511270148,17.7012344578492,14.4542042567346,17.0283410285729,16.5721889460754
"APOA1",22.3184944897117,22.1291045056951,22.1570148086053,22.1284538814395,22.111277100106,22.1214594689798,21.5529171712729,21.7157807106968,22.4073567498509,21.7826296532597,22.3438444180888,22.1427649922843,22.0067816752244,22.1267758688843,22.2514306203795,21.9702254273789,22.3884812920787,21.9667237112152,22.396690661975,21.7949507435897,21.8269314647388,21.8824836738523,21.6941264998258,21.400482041095,21.732374351815,21.9678737823714,21.6218197790965,22.707221991057,22.3563049571769,22.8718751229829,22.2346269476691,22.1339041627738,21.9953961267634,22.6922595489655,22.4217494240114,22.3731420595022,22.3774063790818,22.3477485202418,22.6665219634976,22.2153594349058,22.2916662736098,22.0183459588424,21.8572421910724,22.4719382489148,22.7011814135916,22.4447789858699,22.1316935688807,22.4757793679076,22.5560731935273,22.5809946991473,22.7786633367627,22.9385901237262,22.3984384682236,22.0644194511057,22.7987896047626,22.6611104065793,22.4212358562147,20.9759405492853,22.56330792067,22.1378036754622,22.6305664215237,22.6806767235469,22.9264955602261,22.6919947738104,22.7827350367319,22.1377550245006,22.7823220043341,22.4267795543328,22.388124713491,22.4766440548741,21.9760237565293,22.6141926456343,23.0283129595976,22.3395585726916,22.8257989670429,22.5811718463168,22.1493456403758,22.9054311578217,21.913632594198,22.8115097315588,22.2134839172488,20.2711134277856
"APOB",19.1798528496255,18.0618623255371,17.6906251291565,17.9312858064203,18.6275543847751,18.2513576033807,18.3924029489263,18.299990479079,17.8583771756527,18.005853095588,17.7741576440493,17.703890492455,17.7941184126431,18.3259912945972,18.0467235892218,18.4281510369242,18.2813887395596,18.6471157951129,17.9164704586844,19.1400445736137,18.5773324353195,18.1417552134488,18.5927632299842,18.0651183332182,18.159041125476,18.6680338727416,18.4623936708363,17.7067443580749,18.6431049643987,18.2845624240409,18.8824239892634,18.2430815201633,17.4763642007806,18.3523249790816,19.0596702075125,18.166348979339,18.2668983543293,18.229962565672,19.1310660203322,18.8282748515106,18.6386835038405,18.0681444213692,18.8212666171093,18.7619012838318,18.4433328101487,19.0323169272567,18.5279432412147,18.5865022828184,19.0448086367823,17.7149223940981,19.0070411553436,18.4313420520345,18.5711361508704,18.5232046191419,18.3266348934271,18.9977568485153,18.5955554437577,17.8641961203552,19.0675001818818,18.694779503194,18.6597139556749,19.2003788780797,18.8891214788333,17.8811847561097,18.7414460222855,18.0956577357674,18.3062191889617,18.9447699384731,18.467689945518,18.4075896581565,18.2131811906362,17.9584308365392,18.7315034309764,18.5616340746257,18.991913561336,18.7964849099531,18.736432286951,19.183848843788,18.8660261600259,18.4760795393161,18.4841605122167,17.8164202536299
"APOE",17.441384464877,15.5851412539732,17.1128315691413,17.0354970627199,16.9003356640344,16.7409433006518,16.1798333651837,16.0654690872814,17.0776930603506,16.5857653533981,16.3145881002199,15.9442696133178,16.4322053009111,16.1610525069271,16.5673099720011,17.303862951932,16.424155416351,16.5445362639294,16.4193572372837,17.1047006728353,16.9550404856198,16.1225111654653,16.4840962495699,16.5420937333772,16.5314840570671,16.6242726579435,16.3270345831664,16.5668565516532,17.0103949370571,17.0832681106895,17.1862379416245,16.705851590452,16.6504771925446,17.3255732266758,16.6201732960064,15.2778687821135,16.7176148976518,16.6487420201376,16.3937479996328,16.3671492996189,19.4807185451891,16.483656688701,17.1477699140458,16.5904842580783,16.7877501512685,16.9905483255518,16.7039099413833,16.6254813113592,17.1679746217613,16.647710740975,17.0232701076257,16.6216599826333,16.4759573761251,16.7770071022533,16.6361719090252,16.3677468584528,16.5689592237291,16.6847190107697,16.7883002417947,16.8530121182965,16.6074966568576,16.9267529711708,16.5891153493245,16.9700424150361,16.5468098484009,17.2798382722073,16.2424955165691,16.4949475593053,17.6740627931186,16.5641526964329,16.3431436728033,17.3092100241892,17.1216393949336,16.602411030176,16.6933904003343,16.6341656474069,17.1428612372465,17.2858139204369,16.7650496877373,16.7221147690164,16.0727487363688,16.0919671527829
"B2MG",14.7449226155647,13.85505074479,14.2728422897381,14.184740830773,14.472545020595,14.4373763208867,13.8284342739154,13.8105808509639,13.9162602398065,12.9203472894634,13.2775189214191,13.1499078658663,14.1815089363824,13.7369524672942,14.286114645109,14.2719920959949,13.6404486951226,14.6174260051813,13.6048507729793,14.7869768006911,14.9485573138458,13.6610797016979,13.7342521843082,14.3529946222856,13.5258759866955,15.1215118499125,14.3639497769019,13.3181862748601,13.77012866729,13.017238708412,14.6900963064682,13.3505047363081,13.6157955621725,13.263108074482,14.6028538215398,13.6191944821796,15.0292845459016,13.5034885375921,14.0645778940165,14.1765935806215,14.0738330441714,13.93462387761,14.44838894091,13.7265864865388,13.7245156727755,13.1006413561904,14.4382449682609,14.0561387029596,13.9449645262566,14.608943075154,13.9752917987582,14.051485555682,14.2363006927831,14.4220693315158,14.2514913294247,13.7493273963352,14.121832267101,13.4548687068228,14.5523279722208,13.8369364032437,14.3578365176919,14.4975519253447,13.6239644768741,13.777150305257,13.7791295674761,13.5859709372661,14.5171609189723,14.526503589982,13.6648225571785,14.1424034133283,14.8218031966542,13.4782453865064,14.2169895413167,13.7696645603556,14.8827386084342,14.1295231527013,14.9175752540692,14.1151911570503,14.2069371772534,13.8588787858137,13.5317957161077,16.4139152719986
"C1QA",18.0029022408686,17.8787569101878,18.1911310034767,18.1736969386609,18.2461613769661,17.9094437010052,18.5622793022737,18.1935168964222,18.0662461113981,16.8668633895492,17.861413047548,17.6582598782461,17.6283708995591,18.1097801231862,17.8415870499574,18.3041828075361,18.223964683927,18.211647368597,18.0735545212134,18.6515015615539,18.1441698554781,17.1222001227864,18.2886077470384,17.6381562504081,18.0727992577978,18.1733756676081,17.6342256245322,18.0822670576814,18.3938913348394,18.1833111084955,18.0879301910169,17.7439504263477,17.971705956529,18.0087545797801,18.3747583941519,18.3319467117262,18.5801762437612,17.8432032847718,18.1448949254787,18.1828562934916,18.2748301816011,18.1016689858562,18.5222795833322,18.3669403956672,17.5519391556259,17.7598523230896,18.3153780322048,18.2438545393145,18.1387482352046,17.7738015564299,18.3658179698766,18.1688701069495,18.3181304290759,18.1051505345022,18.1583641909555,17.9873504831524,17.7012268459158,17.6921417430779,17.8586093955536,18.5424279726595,18.4670802404945,18.3966658354161,18.612955888277,18.290978155448,18.3519833849272,18.180685333134,18.2821340323051,17.6378823849095,18.2375200552753,18.2555769483142,18.0615702471735,18.1728472916699,17.9224693212651,18.2108190419841,18.7132718627333,18.4930474697328,18.4342706120142,18.8939081057416,18.5773724344066,17.4605035657328,17.5271617080618,18.4725040782733
"C1QB",17.242225680891,17.3476439300664,17.4082457730312,17.4299669437672,17.5887736836274,17.2550552892984,17.8066096297047,17.5557142872937,17.4365917240764,16.3509334467758,17.3726789869494,16.9704371454987,17.117404681405,17.5633000142751,17.2432328883418,17.7749918836369,17.4841100688955,17.4694075162891,17.2991519855323,17.7569168039576,17.6355164316371,16.7666964774319,17.5519684113243,16.8705168917573,17.378384351312,17.561572457481,16.8286029279179,17.3248671496495,17.6280595245718,17.2856938716597,17.3546965605747,17.3602758719574,17.4850268271698,17.5200887117953,17.9447923834979,17.6485869808379,17.9716475789267,17.5199149582054,17.6077990547302,17.3624306326278,17.7083482465902,16.9944033747489,17.8965134147295,17.9125175685067,17.204434773132,17.3742102569119,17.6806161610289,17.5979050429876,17.5486342865223,17.0433862011941,17.6056073129595,17.5516211907402,17.8179079156714,17.4800348579821,17.705330513188,17.2511523028594,17.4209841961719,16.7409675460804,17.1018428054456,17.5481185221227,17.7273833205033,17.6740596591382,17.6813045446285,17.4413100216198,17.4968675639261,17.278007539538,17.6318257696846,17.2631730410896,17.5699469357402,17.5771022526125,17.3094837637215,17.5246511833178,16.9167122546688,17.2513236206014,17.9308716281572,17.6598394074639,17.2546375021818,18.0176981715653,17.833727327055,16.9635445631894,16.9875461898658,17.0007777670397
"C1QC",19.1402399916689,18.9903888765906,19.2205247673881,19.201876589683,19.195735563248,19.0686158532298,19.7309320556202,19.5377772784765,19.1173938226611,18.1188058437967,19.0502195500752,18.644885449656,18.7689942619668,19.329524784217,18.8739988405958,19.3825044405622,19.1591979416102,19.3809809927131,19.1634323538756,19.645263894624,19.3746398666434,18.5500286806621,19.3050406203201,18.6923970849098,19.2797568983331,19.2475073050108,18.5969138931818,19.1112321656076,19.2830790951281,19.0578609066905,18.977882758672,18.8117063831916,19.2724826401117,19.0953611861655,19.4280135611993,19.5184865574325,20.0729780682673,19.0979201218612,19.3096259615267,19.3042367276787,19.4766629640622,19.2930438056254,19.5928501462856,19.4718384728167,18.783308679113,19.1125308446794,19.4495864901512,19.3607859067548,19.1978808185002,18.9221688584598,19.5292745640284,19.2067935347954,19.4609778020418,18.9954846302247,19.4869604671828,19.0030993524665,18.8591782680182,18.861779153135,18.994742793056,19.5812537934421,19.5310042489854,19.3346147489445,19.3986110397278,19.3965656940831,19.2532265769592,19.5342637160995,19.8002676444914,19.4387263174109,19.3333468194644,19.2210901665493,19.022537140626,19.1567687395612,18.7296246510793,19.1101351130775,19.7791204661388,19.458182969242,19.3870091418034,19.7888366733729,19.8492510020577,18.4989008559182,18.5158535808802,18.7849005870417
