"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","A2MG","Disease-Healthy",-0.172504405330597,0.180914866759059,-0.953511496434048,79,0.343239449133808,0.494264806752684
"2","AACT","Disease-Healthy",0.627236247867413,0.179810684927968,3.48831465782294,79,0.000797527024329003,0.00574219457516882
"3","APOA","Disease-Healthy",0.48833663634668,0.495208329996664,0.98612363073531,79,0.327083089482334,0.490624634223501
"4","APOA1","Disease-Healthy",-0.234274978611299,0.10979277564837,-2.13379229396299,79,0.0359621171736437,0.0924740155893696
"5","APOB","Disease-Healthy",0.00813200026778563,0.121722226260035,0.0668078502804676,79,0.946903462991837,0.946903462991837
"6","APOE","Disease-Healthy",-0.190044503083537,0.144397129010787,-1.31612383421654,79,0.19193861406275,0.329037624107572
"7","B2MG","Disease-Healthy",0.226003655294878,0.145269186313023,1.55575770079616,79,0.123762986801738,0.234498290782241
"8","C1QA","Disease-Healthy",-0.0333457529892317,0.0999215313786988,-0.333719394900511,79,0.739475508662156,0.858745751994762
"9","C1QB","Disease-Healthy",-0.0187146799797584,0.0892750523157305,-0.209629448477632,79,0.83449655322794,0.892377002361343
"10","C1QC","Disease-Healthy",0.0491708292074503,0.0965525509165693,0.509264941637209,79,0.611986105264348,0.776095533287277
"11","C1R","Disease-Healthy",0.180360325804287,0.0857146653602333,2.10419448114609,79,0.0385417310342571,0.0925001544822169
"12","CADH5","Disease-Healthy",0.0898028955770761,0.102625040130077,0.875058323614303,79,0.38419487235455,0.531962130952454
"13","CCNH","Disease-Healthy",0.439548164882336,0.250514728394687,1.7545801306733,79,0.0832085755937233,0.187219295085877
"14","CFAB","Disease-Healthy",0.313247725772258,0.110190866509084,2.84277395846084,79,0.00568964134432237,0.0204827088395605
"15","CLUS","Disease-Healthy",-0.0715254347481603,0.0664473687036752,-1.07642237975037,79,0.285014671089599,0.446109919966328
"16","CO3","Disease-Healthy",-0.0575818781294958,0.344254842401792,-0.167265266997435,79,0.86758875229575,0.892377002361343
"17","CO4A","Disease-Healthy",0.114179080684545,0.137222442410625,0.832072937040976,79,0.407875974092477,0.543834632123303
"18","CO5","Disease-Healthy",0.226972397879037,0.0730251607517168,3.10813965409451,79,0.00261684423546305,0.0117757990595837
"19","CO6","Disease-Healthy",0.1269628993805,0.0759649402791465,1.67133547283725,79,0.0986124109797246,0.197436564945024
"20","CO7","Disease-Healthy",0.172404985465494,0.114972274292297,1.49953531428963,79,0.137720651674848,0.247897173014727
"21","FN1","Disease-Healthy",-0.323546996739479,0.193647797698522,-1.67080132376816,79,0.0987182824725119,0.197436564945024
"22","GELS","Disease-Healthy",-0.356456442575087,0.0997448923017879,-3.57368116150342,79,0.000603727515912089,0.0054335476432088
"23","HPT","Disease-Healthy",0.724853505600112,0.217607555073287,3.33101258987075,79,0.00131759626920114,0.00790557761520683
"24","IC1","Disease-Healthy",0.225229431884917,0.0854611362098096,2.63546030246979,79,0.0101099982310691,0.0330872669380442
"25","IGF2","Disease-Healthy",-0.0179088337948638,0.0920391925125248,-0.194578345441555,79,0.846222571296187,0.892377002361343
"26","ITIH4","Disease-Healthy",0.252811449629849,0.0800027007381677,3.1600364399853,79,0.00223645986154053,0.011501793573637
"27","PLMN","Disease-Healthy",0.0175836650072033,0.0959283845624534,0.18329991782313,79,0.85503232953399,0.892377002361343
"28","PON1","Disease-Healthy",-0.46564629587628,0.124905266913612,-3.72799568330719,79,0.0003612687994905,0.00538456787102071
"29","RET4","Disease-Healthy",-0.351955949063647,0.135771847916001,-2.59226013688342,79,0.0113553320537962,0.0340659961613887
"30","SHBG","Disease-Healthy",0.580327207776323,0.158415163636974,3.66333117646621,79,0.000448713989251726,0.00538456787102071
"31","TETN","Disease-Healthy",-0.352379239363809,0.0950565860492564,-3.7070470759513,79,0.000387645788563429,0.00538456787102071
"32","THBG","Disease-Healthy",0.13556692028072,0.110104184944735,1.23126037714884,79,0.221878392989456,0.363073733982747
"33","THRB","Disease-Healthy",0.0321780431408054,0.0819847881192544,0.392487970987977,79,0.695754667252354,0.834905600702825
"34","TRFE","Disease-Healthy",-0.266757998485828,0.108537383130653,-2.45775225817555,79,0.0161704203155804,0.0447796254892995
"35","TTHY","Disease-Healthy",-0.485112123514014,0.165532810658939,-2.93061008015826,79,0.00442181050777535,0.0176872420311014
"36","VTNC","Disease-Healthy",0.040357570961829,0.0822899372544964,0.490431422216498,79,0.625188068481418,0.776095533287277
