"","102_Diseased","103_Diseased","108_Diseased","138_Diseased","154_Diseased","172_Diseased","196_Diseased","146_Healthy","147_Healthy","148_Healthy","159_Healthy","160_Healthy","161_Healthy","162_Healthy"
"NP_001007697",11.6992726775173,10.1600770146404,10.3843427280244,10.615708612996,9.99325275627436,10.0647889420224,10.5412047687201,13.2072950628968,12.3203108282363,13.6077043670369,13.959710521741,13.5291142642137,12.8534080792228,13.1144311362278
"NP_001008724",17.5002620776134,16.3238491251014,16.8697903961553,16.9704550063003,17.3707438403666,16.9123929095574,17.3687506321894,16.7789957542911,15.6064927442015,18.0802162661522,17.338334466789,16.6558534929274,16.0267307838269,16.4466053945812
"NP_001010968",14.1628354483518,13.1718893939373,13.1637829288803,14.2102528394437,14.4518183148285,13.1756906187638,13.3151614312838,13.518046857895,12.4903393013728,14.1761404191493,13.5283037283107,13.1216791504001,13.2924185637049,12.9302313228371
"NP_001011908",12.32471846944,13.1941298599952,13.5499070138468,13.7112242200133,13.7342681965315,13.6718170953132,12.9424121533486,14.0749134956057,14.054327936999,14.3669158080424,14.1907721782869,13.9066836552106,14.309800034149,13.4870512350494
"NP_001012027",14.9149431527578,13.4510062271071,13.8134044602403,14.5457645047475,14.4740610631736,14.0438682962347,14.3800575786806,13.6276778705027,12.4106015850806,14.642254158647,14.0387681279942,13.434688435502,13.4697557275481,13.5723912133029
"NP_001013967",15.7138127232811,15.2414013263564,15.6095077770769,16.4787842308371,15.3325951297875,15.9070066181712,15.1832664243892,16.0346005007309,14.9892008305882,16.4900618874574,16.1548821646799,16.1217420594581,15.8755076166211,16.0304203388787
"NP_001033064",14.4294668517257,14.9454594222568,15.5401188586145,14.7236299930992,13.4892790946072,15.2047321384526,15.2888486324274,15.6585222043906,14.7083116238518,16.8740250209515,15.8933276645647,15.4673316185193,15.1478804653784,15.6541535169027
"NP_001101333",12.0096747077865,11.8781377357648,12.1461462917946,13.0959124066649,12.4377984823039,12.6555447847199,12.2995100247917,13.1317320543875,11.8611149188645,13.7892550269422,13.1815786166545,12.6367028899663,12.5826630482848,12.5991383320411
"NP_001121161",12.8288352838929,13.3103026476367,13.4459719541848,13.8400094602713,13.4490247729397,13.6597744013713,13.0510738450419,13.6756327810862,13.5110447441415,13.9649689320954,13.8762297996967,13.6676436120419,13.8915163291186,13.1716602140873
"NP_036620",16.7366988607335,14.6140629903262,14.8313117061607,16.1012717699658,16.8642738194693,15.3415996477682,15.6726872376362,13.2086009178325,13.265348790333,14.2733088756828,13.8856741367679,13.2920560465964,13.2670158375263,13.0879470175606
"NP_036629",13.5343833420647,11.4835499953307,12.864679229667,13.4447753809833,13.5182212131459,13.4204529198559,13.5975286391582,12.6515087206376,11.9543769023882,13.954073462376,13.4243521058936,12.7153048337131,12.3150296572195,11.8149123192769
"NP_036664",18.823246945578,17.8829570712607,18.1548244498077,18.7612135377889,18.5042664967668,18.4265004536234,18.7565020186061,17.433164700684,16.3150634847605,18.2393716571182,17.8899248486429,17.227395963416,17.1039441435064,17.3026129537107
"NP_036691",19.2355538965938,18.4533738197006,18.9361308417747,19.3342373018848,19.3157352178512,19.1873514035763,19.2199966053622,18.4234218191012,17.8169556647178,19.1211835428876,18.7866015329826,18.2156094273937,18.1588039835544,18.2708938567381
"NP_036714",12.2808590726055,12.637596713674,13.2323708364663,13.9547468570806,14.2358466511098,13.2569888770956,14.6425300257914,18.2184082067698,17.4262169216589,19.1277252420257,18.7993726170892,18.0776968998633,17.7402947732331,17.7693946871053
"NP_036745",16.0315661047966,14.1752565331031,14.2405947053499,15.7561602734925,16.0037245243923,15.0872789540773,15.4938140318695,13.9980381768702,13.2881030730862,13.9076419857845,13.9910625687256,13.9945607820835,13.4962801803787,13.5590603810218
"NP_036774",11.9011852647188,14.1263108353548,14.1998778214707,13.6793105452012,12.4186050887106,14.0098709630756,12.9590728783507,14.5058717507051,14.2021409849975,14.3336411868126,14.6149205113451,14.5978998041312,14.6454127563296,13.6147424139944
"NP_036789",16.7467604671445,17.8484618988922,18.5413653289017,17.4732849510631,15.9953752123958,17.5550086088423,18.1613289429646,18.9118759113074,17.8466440646001,19.5873667814197,18.8303592411865,18.4951097812922,18.1608451610895,18.7042928236336
"NP_036828",20.8986971053071,17.2309146691227,16.7799019415925,19.7276756133318,20.372657948187,18.4779264440984,19.6169965213582,15.5976331730591,14.5329226819356,15.6529919761753,15.7484182966179,15.2066500017769,14.6667708591565,15.072964014038
"NP_036869",15.3565917851395,13.9619928854003,14.8088041149383,14.7125269270267,14.9468787744513,14.3865903327505,14.8041891985499,14.9016641219291,13.7673032096989,15.9260618893121,15.4971016921609,15.0044805352578,14.8851730208592,15.0166545112438
