"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","NP_001007697","Disease-Healthy",-2.73333239419719,0.299841670700634,-9.11591903757161,28,7.1285422009737e-10,8.55425064116844e-09
"2","NP_001008724","Disease-Healthy",0.340430726359034,0.345923304431741,0.984121977321735,28,0.333483495463749,0.410441225186152
"3","NP_001010968","Disease-Healthy",0.376155404345733,0.297851137121594,1.26289732508952,28,0.217042222593515,0.289389630124687
"4","NP_001011908","Disease-Healthy",-0.747396428622187,0.22675609392686,-3.29603679301011,28,0.0026673266074082,0.00753127512679964
"5","NP_001012027","Disease-Healthy",0.632424023480704,0.316424913787583,1.99865432816473,28,0.0554389287826826,0.0887022860522922
"6","NP_001013967","Disease-Healthy",-0.318577309787918,0.246321858294145,-1.29333755434521,28,0.20646324709812,0.283149596020278
"7","NP_001033064","Disease-Healthy",-0.826002446195961,0.363825772056037,-2.27032417612444,28,0.0310782895622015,0.0532770678209168
"8","NP_001101333","Disease-Healthy",-0.465637207616373,0.278796777919806,-1.67016710555496,28,0.106029660332768,0.159044490499151
"9","NP_001121161","Disease-Healthy",-0.310529149561281,0.166662432794314,-1.86322222923819,28,0.0729516734966555,0.112957429930305
"10","NP_036620","Disease-Healthy",2.2688506299657,0.3713454171904,6.10981184884906,28,1.36262484606853e-06,9.34371323018419e-06
"11","NP_036629","Disease-Healthy",0.433433245528676,0.410689177809472,1.05538024605497,28,0.300273215652278,0.379292482929193
"12","NP_036664","Disease-Healthy",1.11400474594274,0.266209313390058,4.18469486193546,28,0.000255610281523211,0.00102244112609284
"13","NP_036691","Disease-Healthy",0.698415608481089,0.201520453027481,3.46573063919149,28,0.00172320635198253,0.00516961905594759
"14","NP_036714","Disease-Healthy",-4.70259575913156,0.397228345263107,-11.8385201237761,28,2.04947170345804e-12,4.91873208829929e-11
"15","NP_036745","Disease-Healthy",1.50766399701883,0.316727017211398,4.7601370110228,28,5.3431167298168e-05,0.000256469603031206
"16","NP_036774","Disease-Healthy",-1.03148514449085,0.371293851172853,-2.77808302300878,28,0.00965072068605588,0.0201406344752471
"17","NP_036789","Disease-Healthy",-1.22502330066036,0.394865290524144,-3.10238283804147,28,0.00435369019178289,0.011609840511421
"18","NP_036828","Disease-Healthy",3.80377417718225,0.619862393026405,6.13648161265402,28,1.26861991800453e-06,9.34371323018419e-06
"19","NP_036869","Disease-Healthy",-0.288694994600296,0.300963818895987,-0.959234886303952,28,0.345650829075908,0.414780994891089
"20","NP_036870","Disease-Healthy",1.42406238203621,0.383696613445157,3.71142807138629,28,0.000905804461097226,0.00310561529519049
"21","NP_037001","Disease-Healthy",0.0295977974417153,0.195198734016329,0.15162904406562,28,0.880566762875638,0.880566762875638
