"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","ACEA","T3-T1",0.216928817438032,0.124407458183122,1.74369624302366,100,0.0842852467304596,0.108366745796305
"4","ACH1","T3-T1",0.271516974417838,0.0641452583204753,4.23284559961262,100,5.12852888712167e-05,9.23135199681901e-05
"7","ACON","T3-T1",0.084214764364359,0.0165111429317873,5.10048060950575,100,1.61169249013327e-06,3.45362676457128e-06
"10","ADH1","T3-T1",-0.0588469311585037,0.0142802808949688,-4.12085249522204,100,7.79531822727719e-05,0.000134918969318259
"13","ADH2","T3-T1",-0.282979560283825,0.10531763967696,-2.68691513740535,40,0.0104541778241782,0.0168013572174293
"16","ADH4","T3-T1",-0.625995805786776,0.317980114904536,-1.96866337372924,40,0.0559482465316532,0.0786772216851373
"19","ALDH6","T3-T1",-0.205183274674672,0.0188151187463034,-10.9052341067464,100,0,0
"22","ALF","T3-T1",-0.0518490069821501,0.0158437853643567,-3.27251384626765,80,0.00157500364092611,0.00262500606821018
"25","CISY1","T3-T1",0.412614447824696,0.0228832459722855,18.0312901554449,100,0,0
"28","CISY2","T3-T1",-0.519524895619037,0.122467451664789,-4.24214669740211,100,4.95173106673796e-05,9.23135199681901e-05
"31","DHSA","T3-T1",0.0129785572233039,0.117646868876988,0.110317914511386,100,0.912378347044735,0.912378347044735
"34","DHSB","T3-T1",0.631977333059673,0.0730596873872374,8.650151070453,40,1.06238573494011e-10,3.41481129087892e-10
"37","DHSD","T3-T1",-0.304412442197294,0.131651481982819,-2.31225989721118,40,0.0259926593443223,0.0403334369136035
"40","ENO1","T3-T1",0.889042957563735,0.0144989366268568,61.3178042255138,100,0,0
"43","ENO2","T3-T1",-0.257258128408576,0.0163260979838337,-15.7574779143991,100,0,0
"46","F16P","T3-T1",-0.11194013470391,0.153500621108858,-0.729248741114381,100,0.467554131924537,0.478668543940224
"49","FUMH","T3-T1",0.181436823432656,0.0272072161489452,6.66870224573457,100,1.44037626270688e-09,4.05105823886309e-09
"52","G6PI","T3-T1",-0.105429328424414,0.0114376195582385,-9.21776842529037,100,5.10702591327572e-15,2.08923787361279e-14
"55","HXKA","T3-T1",0.297081920344653,0.0421773384159109,7.04363839688334,100,2.42045050669049e-10,7.26135152007146e-10
"58","HXKB","T3-T1",-0.243173808256486,0.111317965283633,-2.18449742264773,40,0.0348461333983512,0.0505830968685743
"61","HXKG","T3-T1",0.735246167128489,0.0175708046569537,41.8447635997998,100,0,0
"64","IDH1","T3-T1",0.17729710755698,0.0296282204884774,5.98406197314253,80,5.8436735672629e-08,1.54685476780488e-07
"67","IDH2","T3-T1",0.274162259864846,0.0241178287529553,11.367617818053,100,0,0
"70","IDHC","T3-T1",0.105490867335459,0.144812538930496,0.728465008034214,100,0.468031465185997,0.478668543940224
"73","K6PF1","T3-T1",0.0715319865180263,0.011284101182357,6.33918336622758,40,1.57670709377555e-07,3.94176773443888e-07
"76","K6PF2","T3-T1",0.117759711013223,0.0648959922925393,1.81459142318656,100,0.0725847844683321,0.0963746534503955
"79","KPYK1","T3-T1",0.0706196937897649,0.0328328485196148,2.1508853777209,100,0.0338945766447076,0.0505830968685743
"82","KPYK2","T3-T1",0.167862744211592,0.196866898285518,0.852671249831647,100,0.395879259793701,0.445364167267914
"85","MASY","T3-T1",-0.324998297060901,0.179250159616412,-1.81309906644649,100,0.0728164048291877,0.0963746534503955
"88","MDHC","T3-T1",0.0742356805475917,0.0581007873164353,1.27770524250008,100,0.204311586268644,0.241947931107605
"91","MDHM","T3-T1",0.444525776340731,0.0255647695736924,17.3882176038924,80,0,0
"94","ODO1","T3-T1",0.529607267518129,0.0199383133065398,26.5622903690863,100,0,0
"97","ODO2","T3-T1",0.414621997017811,0.0373472514333835,11.1018075254447,40,8.70414851306123e-14,3.26405569239796e-13
"100","ODPA","T3-T1",0.290645809741473,0.0505612160009031,5.74839437675474,40,1.06705888480718e-06,2.40088249081616e-06
"103","ODPB","T3-T1",0.397322833393725,0.0286089672715993,13.8880522887016,100,0,0
"106","PDC1","T3-T1",-0.138187526045646,0.0190461763430803,-7.2553946554134,100,8.72477645685876e-11,3.02011492737419e-10
"109","PDC5","T3-T1",-0.234349057803362,0.192509894005122,-1.21733513497819,80,0.227055466680893,0.261987076939492
"112","PDC6","T3-T1",-0.0919341909973156,0.0193596326505428,-4.74875699641635,40,2.62725889204063e-05,5.14028913660123e-05
"115","PGK","T3-T1",0.0135132388319011,0.0169385610392181,0.7977796225201,100,0.426888756857077,0.457380810918296
"118","PMG1","T3-T1",0.0245695269077867,0.0145502028621817,1.68860373566659,100,0.0944115247589652,0.118014405948706
"121","PMG2","T3-T1",-0.185857839688085,0.230931889120151,-0.804816694637548,100,0.422834826204492,0.457380810918296
"124","PMG3","T3-T1",-0.095205025816137,0.0644510244845319,-1.47716854119186,100,0.142772935244037,0.173642759080586
"127","SDH3","T3-T1",0.318821728728057,0.0592301801917319,5.38275804152563,100,4.85666016292186e-07,1.15026161753412e-06
"130","SUCA","T3-T1",0.533973213206955,0.0297185332555252,17.9676839572047,100,0,0
"133","SUCB","T3-T1",0.773374662120335,0.159661373475274,4.843843224486,40,1.94488743714416e-05,3.97817884870396e-05
"2","ACEA","T5-T1",-0.137788334835935,0.124407458183122,-1.10755686876198,100,0.270710185359461,0.297120935150628
"5","ACH1","T5-T1",1.65546812371915,0.0641452583204753,25.8081137571898,100,0,0
"8","ACON","T5-T1",0.701402649115227,0.0165111429317873,42.4805630968699,100,0,0
"11","ADH1","T5-T1",-0.153091869666962,0.0142802808949688,-10.7205082864231,100,0,0
"14","ADH2","T5-T1",-0.745258022750881,0.10531763967696,-7.07628869234829,40,1.46891629970725e-08,2.36075833881522e-08
"17","ADH4","T5-T1",-1.08312310644376,0.317980114904536,-3.40626050395929,40,0.00151205166502688,0.00212632265394405
"20","ALDH6","T5-T1",-0.583817285818653,0.0188151187463034,-31.0291576519205,100,0,0
