"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","YBR132C","M6-M3",1.53121726211192,0.900631180671707,1.70016017097022,15,0.109735514743998,0.329206544231995
"4","YBR144C","M6-M3",0.509877547437513,1.37950254606969,0.369609718293158,18,0.715985851576564,0.781075474447161
"7","YBR147W","M6-M3",-5.77097787713962,1.29603428028613,-4.45279724843817,21,0.000220079309086518,0.00132047585451911
"10","YBR168W","M6-M3",0.0486151107361639,0.0641699234988895,0.757599636798775,18,0.458494716789583,0.654562491051864
"13","YBR184W","M6-M3",-3.45363493558023,1.05050137865057,-3.2876062856925,36,0.00226164221159131,0.00904656884636523
"16","YBR186W","M6-M3",-0.154036989535766,0.137164551079963,-1.12300873894135,18,0.276189816181893,0.625361941102231
"19","YBR203W","M6-M3",-0.43788839669567,0.597007667664303,-0.733471981036422,29,0.469159012299469,0.654562491051864
"22","YBR204C","M6-M3",0.112155321186158,0.274475579325353,0.408616757315277,24,0.686444051435024,0.781075474447161
"25","YBR228W","M6-M3",-0.653296061715032,0.942936532240184,-0.692831425422623,64,0.490921868288898,0.654562491051864
"28","YBR250W","M6-M3",-0.0432463920720267,1.07344097549463,-0.0402876292775198,37,0.968080427607522,0.968080427607522
"31","YBR270C","M6-M3",0.239018160119381,0.2331211475131,1.02529591445989,33,0.312680970551115,0.625361941102231
"34","YBR284W","M6-M3",4.46539505654416,0.598057872875724,7.4664932259358,58,4.81898965176697e-10,5.78278758212036e-09
"2","YBR132C","M6-M4",3.43065717314064,0.900631180671707,3.80916988748046,15,0.0017108551668592,0.00684342066743682
"5","YBR144C","M6-M4",1.10177022707922,1.37950254606969,0.798672122946234,18,0.434892682791296,0.579856910388395
"8","YBR147W","M6-M4",-2.273218627107,1.22191283765406,-1.86037707196147,21,0.0768953463818887,0.230686039145666
"11","YBR168W","M6-M4",0.0651511999478898,0.0641699234988895,1.01529184383424,18,0.323420472886901,0.554435096377545
"14","YBR184W","M6-M4",-6.18366651400329,1.05050137865057,-5.88639542952965,36,9.85718583423889e-07,5.91431150054333e-06
"17","YBR186W","M6-M4",-0.0697728384787523,0.137164551079963,-0.508679815079019,18,0.617154854807976,0.740585825769572
"20","YBR203W","M6-M4",-0.868994228862486,0.597007667664302,-1.45558302837598,29,0.156248901975111,0.345825721743616
"23","YBR204C","M6-M4",0.0581099935938879,0.274475579325353,0.211712800594936,24,0.834118698295603,0.834118698295603
"26","YBR228W","M6-M4",-1.4037728573296,1.01848786008409,-1.37829120242405,64,0.172912860871808,0.345825721743616
"29","YBR250W","M6-M4",-0.407507938976692,1.07344097549463,-0.379627709654849,37,0.706392071653895,0.770609532713339
"32","YBR270C","M6-M4",-0.202895210385032,0.2331211475131,-0.870342362970872,33,0.390400603183429,0.579856910388395
"35","YBR284W","M6-M4",4.78082704155302,0.631308291295301,7.57288809203479,58,3.19230863965458e-10,3.8307703675855e-09
"3","YBR132C","M6-M5",0.517228830318793,0.900631180671708,0.574295939801944,15,0.574279671833014,0.720263306479738
"6","YBR144C","M6-M5",0.387551721741133,1.37950254606969,0.280935851003173,18,0.781963356624791,0.853050934499772
"9","YBR147W","M6-M5",-1.05868927855332,1.36614008378707,-0.774949283106111,21,0.447008385898485,0.670512578847728
"12","YBR168W","M6-M5",0.103876769715824,0.0641699234988895,1.61877658647391,18,0.122883493206578,0.294920383695787
"15","YBR184W","M6-M5",-1.40269819982705,1.05050137865057,-1.33526545355791,36,0.190171704386398,0.326008636090969
"18","YBR186W","M6-M5",-0.308811941898108,0.137164551079963,-2.25139760577118,18,0.037090903806057,0.111272711418171
"21","YBR203W","M6-M5",-3.30820259022578,0.626146924271746,-5.28342863629564,29,1.15387504828757e-05,0.000138465005794508
"24","YBR204C","M6-M5",-0.787148209407878,0.274475579325353,-2.86782602424102,24,0.00847644353401922,0.0339057741360769
"27","YBR228W","M6-M5",0.60826857365512,1.15485668190893,0.526704813838609,64,0.600219422066448,0.720263306479738
"30","YBR250W","M6-M5",-0.0293987745010811,1.07344097549463,-0.0273874159569272,37,0.978297923100084,0.978297923100084
"33","YBR270C","M6-M5",-0.375343002721472,0.260637366416023,-1.44009666719222,33,0.159260433686752,0.318520867373504
"36","YBR284W","M6-M5",3.10327752664765,0.678133886251477,4.57620182321466,58,2.54593565340855e-05,0.000152756139204513
